中华人民共和国 习近平
和平共处 五项原则
一百年 奋斗目标
基础设施 投资银行
社会主义 现代化
十国集团 领导人
亚太经合组织 领导人
自由化 便利化
领导人 非正式
亚太经合组织 非正式
代表性 发言权
丝绸之路 经济带
全党全国 各族人民
邓小平理论 三个代表
独立自主 外交政策
马克思列宁主义 毛泽东思想
贸易额 亿美元
积极性 主动性
先进性 纯洁性
奋斗目标 中华民族
城乡居民 人均收入
节约资源 保护环境
主动性 创造性
你中有我 我中有你
生产总值 人均收入
毛泽东思想 邓小平理论
多极化 全球化
出发点 落脚点
信息化 城镇化
多党合作 政治协商
己所不欲 勿施于人
菲德尔 卡斯特罗
马克思 恩格斯
共产主义 远大理想
同呼吸 共命运
人均收入 2010
社会主义 理论体系
生产总值 城乡居民
第十九次 全国代表大会
资源配置 决定性
城乡居民 2010
对外开放 基本国策
城镇化 现代化
习近平 2014
五位一体 总体布局
工业化 信息化
5000 亿美元
党的建设 伟大工程
第二十二次 非正式
香港特别行政区 澳门特别行政区
2010 翻一番
抗日战争 世界反法西斯战争
党的领导 当家作主
当家作主 依法治国
霸权主义 强权政治
保护主义 单边主义
保护环境 基本国策
劳有所得 病有所医
发展中国家 代表性
社会主义 伟大旗帜
病有所医 老有所养
社会主义 初级阶段
相互理解 相互支持
规范化 程序化
台湾同胞 海外侨胞
第二次 全体会议
党组织 广大党员
新一轮 产业革命
社会主义 价值观
自由贸易 试验区
世界观 人生观
100 亿美元
社会主义 市场经济
基础设施 互联互通
亚太经合组织 第二十二次
制度化 规范化
改革开放 现代化
第二十二次 领导人
公共服务 均等化
发展中国家 共同利益
幸福感 安全感
产业链 价值链
1840 鸦片战争
潘基文 秘书长
形式主义 官僚主义
成员国 理事会
日益增长 美好生活
中国共产党 第十九次
中国共产党 多党合作
我中有你 共同体
承前启后 继往开来
国家元首 政府首脑
劳动模范 工作者
一荣俱荣 一损俱损
百尺竿头 更进一步
党中央 高度一致
发展中国家 发言权
中华人民共和国政府 新西兰政府
勒贝格 道尔吉
海纳百川 有容乃大
立党为公 执政为民
第十八届 中纪委
党中央 集中统一
马克思主义 中国化
马克思主义 基本原理
联合国 合法席位
创造力 凝聚力
人生观 价值观
依法治国 从严治党
小康社会 深化改革
2008 奥运会
第四次 工业革命
全方位 互联互通
严格执法 公正司法
澳门特别行政区 台湾同胞
毛泽东 周恩来
此起彼伏 恐怖主义
党的基本 基本路线
外商投资 合法权益
全球化 信息化
参与者 建设者
中国共产党 全国代表大会
安危冷暖 放在心上
海内存知己 天涯若比邻
知情权 参与权
逢山开路 遇水架桥
联合国 安理会常任理事国
2020 生产总值
社会主义 经济体制
发展中国家 团结合作
五湖四海 任人唯贤
半殖民地 半封建社会
社会主义 价值体系
习近平 2015
中华民族 爱好和平
香港特别行政区 基本法
绝不允许 任何人
澜沧江 湄公河
资源节约型 环境友好
辩证唯物主义 历史唯物主义
社会主义 共同理想
初级阶段 基本国情
解放思想 实事求是
艰难困苦 玉汝于成
创造性 创新性
恐怖主义 核扩散
深化改革 依法治国
世界杯 足球赛
一花独放不是春 百花齐放
安定团结 政治局面
中国化 时代化
凝聚力 战斗力
成员国 观察员
边疆地区 贫困地区
行政区 行政长官
面向未来 伙伴关系
相互促进 相得益彰
华盛顿州 西雅图市
国家主权 领土完整
十国集团 第九次
战略性 新兴产业
马克思主义 执政党
国际货币基金组织 世界银行
老一辈 领导人
信息化 多样化
万亿元 人民币
世界观 方法论
不稳定性 不确定性
发展中国家 正当权益
上层建筑 经济基础
共命运 心连心
相互尊重 相互信任
两国人民 实实在在
一心一意 谋发展
开放型 亚太经济
领导人 第五次
亚太经济 一体化
民主监督 参政议政
第十八次 全国代表大会
物质文明 精神文明
全方位 多层次
政治协商 民族区域
共同富裕 稳步前进
民主党派 人民团体
领导人 第九次
大幅度 市场准入
建设者 贡献者
社会主义 优越性
有限公司 航空航天
航空航天 有限公司
Annenberg Estate
Asia Pacific
尊重知识 尊重人才
无源之水 无本之木
诺贝尔文学奖 获得者
长期共存 互相监督
两国人民 传统友谊
行政区 高度自治权
几千年 历史长河
新能源 再生能源
各族人民 香港特别行政区
发展中国家 对话会
960 多万平方公里
时代化 大众化
路遥知马力 日久见人心
旗帜鲜明 保护主义
十国集团 第十一次
供需平衡 防扩散
社会公德 职业道德
境内外 采购商
力量对比 有利于
各阶层 各界人士
7000 贫困人口
现行标准 贫困人口
金融危机 深层次
看得见 摸得着
群众性 创建活动
第三产业 增加值
逆水行舟 不进则退
党中央 国务院
开展批评 自我批评
全心全意 工人阶级
贯彻落实 发展观
原则性 战斗性
基本路线 基本纲领
政治性 时代性
多样化 信息化
气候变化 全球性
