马克思列宁主义 毛泽东思想
社会主义 初级阶段
全党全国 各族人民
社会主义 现代化
社会主义 经济体制
贯彻落实 发展观
解放思想 实事求是
毛泽东思想 邓小平理论
多党合作 政治协商
党的建设 伟大工程
霸权主义 强权政治
邓小平理论 伟大旗帜
改革开放 现代化
和平共处 五项原则
社会主义 市场经济
党的基本 基本路线
独立自主 外交政策
邓小平理论 三个代表
形式主义 官僚主义
初级阶段 基本国情
百花齐放 百家争鸣
中国共产党 全国代表大会
党的路线 方针政策
党的领导 当家作主
当家作主 依法治国
资源配置 基础性
马克思主义 中国化
公共服务 均等化
共产主义 远大理想
社会主义 理论体系
群众性 创建活动
先进性 纯洁性
互相监督 肝胆相照
知情权 参与权
社会公德 职业道德
肝胆相照 荣辱与共
长期共存 互相监督
社会主义 价值体系
面向世界 面向未来
政治协商 民族区域
建设者 接班人
精神文明 创建活动
高素质 干部队伍
节约资源 保护环境
凝聚力 战斗力
实事求是 与时俱进
第二代 领导集体
群众性 精神文明
革命化 正规化
制度化 规范化
现代化 正规化
自由化 便利化
革命化 现代化
公共事务 公益事业
爱国人士 香港特别行政区
和平统一 一国两制
机械化 信息化
创造力 凝聚力
世界观 人生观
立党为公 执政为民
规范化 程序化
道德素质 文化素质
海内外 中华儿女
国有资产 管理体制
香港特别行政区 澳门特别行政区
民主监督 参政议政
社会效益 放在首位
民主选举 民主决策
基本路线 基本纲领
日益增长 美好生活
人民团体 爱国人士
各族人民 团结奋斗
绝不允许 任何人
人生观 价值观
科学化 民主化
第一代 领导集体
爱国主义 集体主义
社会主义 伟大旗帜
劳有所得 病有所医
合理配置 教育资源
审判机关 检察机关
尊重知识 尊重人才
执法必严 违法必究
有令不行 有禁不止
有法必依 执法必严
病有所医 老有所养
经济特区 上海浦东新区
工人阶级 先锋队
马克思主义 执政党
企事业 管理制度
共产党 多党合作
政治协商 民主监督
各尽其 各得其所
荒漠化 石漠化
重特大 安全事故
合法经营 先富起来
资源节约型 环境友好
保护环境 基本国策
领导集体 全党全国
社会主义 共同理想
国家主权 领土完整
一心一意 谋发展
出发点 落脚点
开展批评 自我批评
长期性 复杂性
中国共产党 多党合作
严格执法 公正司法
澳门特别行政区 台湾同胞
多极化 全球化
大中小城市 小城镇
民主党派 人民团体
社会治安 综合治理
社会主义 基本国情
自觉性 坚定性
边疆地区 贫困地区
依法治国 德治国
全心全意 工人阶级
行政区 行政长官
社会制度 意识形态
工业化 信息化
